id,categoryA,categoryB,categoryC,categoryD,categoryE,categoryF,featureA,featureB,featureC,featureD,featureE,featureF,featureG,featureH,featureI,compositionA,compositionB,compositionC,compositionD,compositionE,compositionF,compositionG,compositionH,compositionI,compositionJ,unit,result
a563699ca2a601c6ac64aa29986a00a90fb42b48741695b0526a286d504d17ca,catA_1,catB_0,catC_718,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_6,0.000457942
91ab3eb3bcf6c8c1c5fe2da9ba671aa5a48c7369d9a50f32e1ddd735472b4b3c,catA_1,catB_0,catC_1309,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_6,0.000334841
7128c51c554735d6c81862684ad6005ae12d2edbcd464487a7217fc72c03ba22,catA_15,catB_0,catC_1309,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_4,0.054071786
c8144b52e4f63014de0a0d8e1c629bf0b05cb2696cfc23291b4f48e6491c4cb5,catA_0,catB_0,catC_935,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,2,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_5,0.06114283
88d15a5b2df6692f23d105ff1ae82ae026be00c9271eef33e0aea97fd2110cb6,catA_22,catB_0,catC_1325,catD_0,catE_2,catF_0,-40055.25,4.363288335,0.729193518,93.67719744,15.04788408,4,1.46451E+12,87.15892368,50941692,0,8,14,0,49,3,2,9,16.84,15,unit_15,0.015439266
ba91f7af02c5dcab1662233484ea2fc63d63a2030a2bd490c7018686c8eb931d,catA_0,catB_0,catC_1325,catD_0,catE_2,catF_0,-40055.25,4.363288335,0.729193518,93.67719744,15.04788408,4,1.46451E+12,87.15892368,50941692,0,8,14,0,49,3,2,9,16.84,15,unit_5,0.012778345
0b4af6f80f2d50f189141a9d1b4d5d6d73496d197279683e64b92b1999d39764,catA_3,catB_0,catC_1325,catD_0,catE_2,catF_0,-40055.25,4.363288335,0.729193518,93.67719744,15.04788408,4,1.46451E+12,87.15892368,50941692,0,8,14,0,49,3,2,9,16.84,15,unit_1,0.001722086
027b0a965e087bf6c690b6d6ae2c922423cfaed1b0d1f83982b3a30b2157d63d,catA_10,catB_0,catC_920,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_4,0.067296743
64bd0da305e6a84bf6e44321c6484cba2f5e9380e081c77c6c90c31cf44c187d,catA_7,catB_0,catC_920,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_8,0.477916239
8c545a9fbcdf2b0ee9b21f56f4fb3a0872f112988f98a085fa32e218cf34c3bc,catA_15,catB_0,catC_920,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_4,0.035198412
6b2b090ac73af1bfbc1d334e9e0f2720e04d6ed18a39645ef7ed4340a25b3afc,catA_3,catB_0,catC_920,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_1,0.008143745
c16852664fd95fa081b2b14bfa1719254d429efed99f7978760f685e2ce032bf,catA_18,catB_0,catC_920,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,0,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_0,0.02810819
bf0d71366878ead9f0b56eeb58d1cd0aa113befda862b341025852a9fd96b9eb,catA_7,catB_0,catC_439,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,6,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_8,0.472887439
69f12445f05a67f1f66d366e148de9ee431affb045b0bfe4b0ead8560955c8e1,catA_6,catB_0,catC_439,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,6,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_7,0.690800149
b6f2e2f2bdb1824a268b1a76f40a686dc8747c38cbc71364dca048fc2ccf4e3c,catA_19,catB_0,catC_212,catD_0,catE_0,catF_0,75808.375,4.457840432,0.005717646,122.2994372,30.8319059,3,2.80604E+12,0,71176346,0,10,26,0,32,3,0,9,22.26,20,unit_13,0.272848872
